Team,Elo Rating
Brewcity Bruisers Milwaukee Roller Derby / Brewcity Bruisers All Stars,744
Bay Area Derby / Bay Area Derby - All Stars,695
Atlanta Roller Derby / Rumble Bs,705
Norfolk Roller Derby / The Norfolk Brawds A,695
Tiger Bay Brawlers,698
Copenhagen Roller Derby / Copenhagen Team A,686
Detroit Roller Derby / DRD Allstars,714
Detroit Roller Derby / Detroit B,693
Rainy City Roller Derby / Rainy City All Stars,726
Lehigh Valley Roller Derby / Lehigh Valley Roller Derby All Stars,690
Roller Derby Quebec / Les Duchesses,700
Copenhagen Roller Derby  / Copenhagen Team A,684
Auver'Niaks Roller Derby  / Les Auver'Niaks,706
Windy City Roller Derby / Windy City Third Coast,719
